"clicked","monthclust","value"
"Moderate Farmers/Nov-11","Moderate Miscellanea/Oct-12","9"
"Moderate Farmers/Nov-11","Casual/Nov-12","19"
"Moderate Farmers/Nov-11","Hardcore/Nov-12","32"
"Moderate Farmers/Nov-11","Moderate Farmers/Nov-12","22"
"Moderate Farmers/Nov-11","Moderate Miscellanea/Nov-12","9"
"Moderate Farmers/Nov-11","Forum/Nov-12","4"
"Moderate Farmers/Nov-11","Casual/Dec-12","10"
"Moderate Farmers/Nov-11","Moderate Farmers/Dec-12","12"
"Moderate Farmers/Nov-11","Moderate Miscellanea/Dec-12","1"
"Moderate Farmers/Nov-11","Hardcore/Dec-12","10"
"Moderate Farmers/Nov-11","Forum/Dec-12","1"
"Casual Winners/Nov-11","Moderate Farmers/Nov-11","0"
"Casual Winners/Nov-11","Casual Winners/Nov-11","1557"
"Casual Winners/Nov-11","Casual Losers/Nov-11","0"
"Casual Winners/Nov-11","Forum/Nov-11","0"
"Casual Winners/Nov-11","Moderate/Nov-11","0"
"Casual Winners/Nov-11","Hardcore/Nov-11","0"
"Casual Winners/Nov-11","Casual Winners/Dec-11","232"
"Casual Winners/Nov-11","Casual Losers/Dec-11","179"
"Casual Winners/Nov-11","Moderate Farmers/Dec-11","172"
"Casual Winners/Nov-11","Hardcore/Dec-11","109"
"Casual Winners/Nov-11","Forum/Dec-11","31"
"Casual Winners/Nov-11","Moderate/Dec-11","163"
"Casual Winners/Nov-11","Moderate Losers/Jan-12","50"
"Casual Winners/Nov-11","Moderate Miscellanea/Jan-12","65"
"Casual Winners/Nov-11","Casual Losers/Jan-12","74"
"Casual Winners/Nov-11","Hardcore/Jan-12","70"
"Casual Winners/Nov-11","Casual Winners/Jan-12","114"
"Casual Winners/Nov-11","Forum/Jan-12","19"
"Casual Winners/Nov-11","Moderate Farmers/Jan-12","71"
"Casual Winners/Nov-11","Moderate Farmers/Feb-12","67"
"Casual Winners/Nov-11","Moderate Losers/Feb-12","45"
"Casual Winners/Nov-11","Casual Losers/Feb-12","42"
"Casual Winners/Nov-11","Hardcore/Feb-12","47"
"Casual Winners/Nov-11","Casual Winners/Feb-12","77"
"Casual Winners/Nov-11","Forum/Feb-12","8"
"Casual Winners/Nov-11","Casual Forum/Feb-12","18"
"Casual Winners/Nov-11","Casual Forum/Mar-12","9"
"Casual Winners/Nov-11","Casual Winners/Mar-12","56"
"Casual Winners/Nov-11","Moderate Miscellanea/Mar-12","35"
"Casual Winners/Nov-11","Casual Losers/Mar-12","32"
"Casual Winners/Nov-11","Hardcore/Mar-12","46"
"Casual Winners/Nov-11","Forum/Mar-12","5"
"Casual Winners/Nov-11","Moderate Farmers/Mar-12","45"
"Casual Winners/Nov-11","Casual Winners/Apr-12","65"
"Casual Winners/Nov-11","Casual Losers/Apr-12","34"
"Casual Winners/Nov-11","Casual Forum/Apr-12","7"
"Casual Winners/Nov-11","Moderate Miscellanea/Apr-12","45"
"Casual Winners/Nov-11","Moderate Farmers/Apr-12","45"
"Casual Winners/Nov-11","Forum/Apr-12","14"
"Casual Winners/Nov-11","Hardcore/Apr-12","51"
"Casual Winners/Nov-11","Hardcore/May-12","52"
"Casual Winners/Nov-11","Casual Forum/May-12","13"
"Casual Winners/Nov-11","Casual Winners/May-12","69"
"Casual Winners/Nov-11","Casual Losers/May-12","36"
"Casual Winners/Nov-11","Moderate Miscellanea/May-12","57"
"Casual Winners/Nov-11","Forum/May-12","13"
"Casual Winners/Nov-11","Moderate Farmers/May-12","47"
"Casual Winners/Nov-11","Hardcore/Jun-12","42"
"Casual Winners/Nov-11","Moderate Losers/Jun-12","28"
"Casual Winners/Nov-11","Moderate Miscellanea/Jun-12","33"
"Casual Winners/Nov-11","Casual Losers/Jun-12","39"
"Casual Winners/Nov-11","Moderate Farmers/Jun-12","26"
"Casual Winners/Nov-11","Forum/Jun-12","13"
"Casual Winners/Nov-11","Casual Winners/Jun-12","60"
"Casual Winners/Nov-11","Casual Winners/Jul-12","52"
"Casual Winners/Nov-11","Moderate Miscellanea/Jul-12","36"
"Casual Winners/Nov-11","Moderate Farmers/Jul-12","27"
"Casual Winners/Nov-11","Casual Losers/Jul-12","21"
"Casual Winners/Nov-11","Forum/Jul-12","11"
"Casual Winners/Nov-11","Hardcore/Jul-12","40"
"Casual Winners/Nov-11","Moderate Losers/Jul-12","26"
"Casual Winners/Nov-11","Hardcore/Aug-12","39"
"Casual Winners/Nov-11","Casual Losers/Aug-12","22"
"Casual Winners/Nov-11","Casual Winners/Aug-12","26"
"Casual Winners/Nov-11","Moderate Losers/Aug-12","24"
"Casual Winners/Nov-11","Moderate Winners/Aug-12","33"
"Casual Winners/Nov-11","Moderate Farmers/Aug-12","16"
"Casual Winners/Nov-11","Casual Winners/Sep-12","33"
"Casual Winners/Nov-11","Moderate Farmers/Sep-12","43"
"Casual Winners/Nov-11","Hardcore/Sep-12","32"
"Casual Winners/Nov-11","Casual Losers/Sep-12","18"
"Casual Winners/Nov-11","Moderate Losers/Sep-12","20"
"Casual Winners/Nov-11","Forum/Sep-12","9"
"Casual Winners/Nov-11","Hardcore/Oct-12","30"
"Casual Winners/Nov-11","Moderate Farmers/Oct-12","29"
"Casual Winners/Nov-11","Casual Losers/Oct-12","11"
"Casual Winners/Nov-11","Forum/Oct-12","13"
"Casual Winners/Nov-11","Casual Winners/Oct-12","30"
"Casual Winners/Nov-11","Moderate Miscellanea/Oct-12","24"
"Casual Winners/Nov-11","Casual/Nov-12","38"
"Casual Winners/Nov-11","Hardcore/Nov-12","36"
"Casual Winners/Nov-11","Moderate Farmers/Nov-12","30"
"Casual Winners/Nov-11","Moderate Miscellanea/Nov-12","25"
"Casual Winners/Nov-11","Forum/Nov-12","5"
"Casual Winners/Nov-11","Casual/Dec-12","5"
"Casual Winners/Nov-11","Moderate Farmers/Dec-12","15"
"Casual Winners/Nov-11","Moderate Miscellanea/Dec-12","4"
"Casual Winners/Nov-11","Hardcore/Dec-12","11"
"Casual Winners/Nov-11","Forum/Dec-12","2"
"Casual Losers/Nov-11","Moderate Farmers/Nov-11","0"
"Casual Losers/Nov-11","Casual Winners/Nov-11","0"
"Casual Losers/Nov-11","Casual Losers/Nov-11","1056"
"Casual Losers/Nov-11","Forum/Nov-11","0"
"Casual Losers/Nov-11","Moderate/Nov-11","0"
"Casual Losers/Nov-11","Hardcore/Nov-11","0"
"Casual Losers/Nov-11","Casual Winners/Dec-11","157"
"Casual Losers/Nov-11","Casual Losers/Dec-11","145"
"Casual Losers/Nov-11","Moderate Farmers/Dec-11","131"
"Casual Losers/Nov-11","Hardcore/Dec-11","75"
"Casual Losers/Nov-11","Forum/Dec-11","27"
"Casual Losers/Nov-11","Moderate/Dec-11","70"
"Casual Losers/Nov-11","Moderate Losers/Jan-12","39"
"Casual Losers/Nov-11","Moderate Miscellanea/Jan-12","44"
"Casual Losers/Nov-11","Casual Losers/Jan-12","63"
"Casual Losers/Nov-11","Hardcore/Jan-12","55"
"Casual Losers/Nov-11","Casual Winners/Jan-12","69"
"Casual Losers/Nov-11","Forum/Jan-12","15"
"Casual Losers/Nov-11","Moderate Farmers/Jan-12","36"
"Casual Losers/Nov-11","Moderate Farmers/Feb-12","36"
"Casual Losers/Nov-11","Moderate Losers/Feb-12","46"
"Casual Losers/Nov-11","Casual Losers/Feb-12","33"
"Casual Losers/Nov-11","Hardcore/Feb-12","36"
"Casual Losers/Nov-11","Casual Winners/Feb-12","50"
"Casual Losers/Nov-11","Forum/Feb-12","3"
"Casual Losers/Nov-11","Casual Forum/Feb-12","6"
"Casual Losers/Nov-11","Casual Forum/Mar-12","2"
"Casual Losers/Nov-11","Casual Winners/Mar-12","36"
"Casual Losers/Nov-11","Moderate Miscellanea/Mar-12","31"
"Casual Losers/Nov-11","Casual Losers/Mar-12","34"
"Casual Losers/Nov-11","Hardcore/Mar-12","28"
"Casual Losers/Nov-11","Forum/Mar-12","6"
"Casual Losers/Nov-11","Moderate Farmers/Mar-12","24"
"Casual Losers/Nov-11","Casual Winners/Apr-12","38"
"Casual Losers/Nov-11","Casual Losers/Apr-12","28"
"Casual Losers/Nov-11","Casual Forum/Apr-12","5"
"Casual Losers/Nov-11","Moderate Miscellanea/Apr-12","28"
"Casual Losers/Nov-11","Moderate Farmers/Apr-12","22"
"Casual Losers/Nov-11","Forum/Apr-12","9"
"Casual Losers/Nov-11","Hardcore/Apr-12","32"
"Casual Losers/Nov-11","Hardcore/May-12","32"
"Casual Losers/Nov-11","Casual Forum/May-12","10"
"Casual Losers/Nov-11","Casual Winners/May-12","43"
"Casual Losers/Nov-11","Casual Losers/May-12","24"
"Casual Losers/Nov-11","Moderate Miscellanea/May-12","43"
"Casual Losers/Nov-11","Forum/May-12","9"
"Casual Losers/Nov-11","Moderate Farmers/May-12","20"
"Casual Losers/Nov-11","Hardcore/Jun-12","28"
"Casual Losers/Nov-11","Moderate Losers/Jun-12","22"
"Casual Losers/Nov-11","Moderate Miscellanea/Jun-12","19"
"Casual Losers/Nov-11","Casual Losers/Jun-12","38"
"Casual Losers/Nov-11","Moderate Farmers/Jun-12","10"
"Casual Losers/Nov-11","Forum/Jun-12","12"
"Casual Losers/Nov-11","Casual Winners/Jun-12","29"
"Casual Losers/Nov-11","Casual Winners/Jul-12","24"
"Casual Losers/Nov-11","Moderate Miscellanea/Jul-12","23"
"Casual Losers/Nov-11","Moderate Farmers/Jul-12","17"
"Casual Losers/Nov-11","Casual Losers/Jul-12","22"
"Casual Losers/Nov-11","Forum/Jul-12","10"
"Casual Losers/Nov-11","Hardcore/Jul-12","18"
"Casual Losers/Nov-11","Moderate Losers/Jul-12","22"
"Casual Losers/Nov-11","Hardcore/Aug-12","27"
"Casual Losers/Nov-11","Casual Losers/Aug-12","15"
"Casual Losers/Nov-11","Casual Winners/Aug-12","18"
"Casual Losers/Nov-11","Moderate Losers/Aug-12","10"
"Casual Losers/Nov-11","Moderate Winners/Aug-12","19"
"Casual Losers/Nov-11","Moderate Farmers/Aug-12","10"
"Casual Losers/Nov-11","Casual Winners/Sep-12","22"
"Casual Losers/Nov-11","Moderate Farmers/Sep-12","18"
"Casual Losers/Nov-11","Hardcore/Sep-12","19"
"Casual Losers/Nov-11","Casual Losers/Sep-12","9"
"Casual Losers/Nov-11","Moderate Losers/Sep-12","13"
"Casual Losers/Nov-11","Forum/Sep-12","7"
"Casual Losers/Nov-11","Hardcore/Oct-12","26"
"Casual Losers/Nov-11","Moderate Farmers/Oct-12","18"
"Casual Losers/Nov-11","Casual Losers/Oct-12","13"
"Casual Losers/Nov-11","Forum/Oct-12","5"
"Casual Losers/Nov-11","Casual Winners/Oct-12","20"
"Casual Losers/Nov-11","Moderate Miscellanea/Oct-12","14"
"Casual Losers/Nov-11","Casual/Nov-12","23"
"Casual Losers/Nov-11","Hardcore/Nov-12","24"
"Casual Losers/Nov-11","Moderate Farmers/Nov-12","19"
"Casual Losers/Nov-11","Moderate Miscellanea/Nov-12","11"
"Casual Losers/Nov-11","Forum/Nov-12","1"
"Casual Losers/Nov-11","Casual/Dec-12","15"
"Casual Losers/Nov-11","Moderate Farmers/Dec-12","7"
"Casual Losers/Nov-11","Moderate Miscellanea/Dec-12","4"
"Casual Losers/Nov-11","Hardcore/Dec-12","8"
"Casual Losers/Nov-11","Forum/Dec-12","2"
"Forum/Nov-11","Moderate Farmers/Nov-11","0"
"Forum/Nov-11","Casual Winners/Nov-11","0"
"Forum/Nov-11","Casual Losers/Nov-11","0"
"Forum/Nov-11","Forum/Nov-11","132"
"Forum/Nov-11","Moderate/Nov-11","0"
"Forum/Nov-11","Hardcore/Nov-11","0"
"Forum/Nov-11","Casual Winners/Dec-11","9"
"Forum/Nov-11","Casual Losers/Dec-11","5"
"Forum/Nov-11","Moderate Farmers/Dec-11","12"
"Forum/Nov-11","Hardcore/Dec-11","29"
"Forum/Nov-11","Forum/Dec-11","71"
"Forum/Nov-11","Moderate/Dec-11","6"
"Forum/Nov-11","Moderate Losers/Jan-12","3"
"Forum/Nov-11","Moderate Miscellanea/Jan-12","14"
"Forum/Nov-11","Casual Losers/Jan-12","3"
"Forum/Nov-11","Hardcore/Jan-12","27"
"Forum/Nov-11","Casual Winners/Jan-12","11"
"Forum/Nov-11","Forum/Jan-12","39"
"Forum/Nov-11","Moderate Farmers/Jan-12","11"
"Forum/Nov-11","Moderate Farmers/Feb-12","12"
"Forum/Nov-11","Moderate Losers/Feb-12","6"
"Forum/Nov-11","Casual Losers/Feb-12","1"
"Forum/Nov-11","Hardcore/Feb-12","15"
"Forum/Nov-11","Casual Winners/Feb-12","8"
"Forum/Nov-11","Forum/Feb-12","23"
"Forum/Nov-11","Casual Forum/Feb-12","15"
"Forum/Nov-11","Casual Forum/Mar-12","12"
"Forum/Nov-11","Casual Winners/Mar-12","3"
"Forum/Nov-11","Moderate Miscellanea/Mar-12","9"
"Forum/Nov-11","Casual Losers/Mar-12","3"
"Forum/Nov-11","Hardcore/Mar-12","22"
"Forum/Nov-11","Forum/Mar-12","15"
"Forum/Nov-11","Moderate Farmers/Mar-12","10"
"Forum/Nov-11","Casual Winners/Apr-12","10"
"Forum/Nov-11","Casual Losers/Apr-12","8"
"Forum/Nov-11","Casual Forum/Apr-12","11"
"Forum/Nov-11","Moderate Miscellanea/Apr-12","12"
"Forum/Nov-11","Moderate Farmers/Apr-12","9"
"Forum/Nov-11","Forum/Apr-12","23"
"Forum/Nov-11","Hardcore/Apr-12","15"
"Forum/Nov-11","Hardcore/May-12","17"
"Forum/Nov-11","Casual Forum/May-12","9"
"Forum/Nov-11","Casual Winners/May-12","8"
"Forum/Nov-11","Casual Losers/May-12","7"
"Forum/Nov-11","Moderate Miscellanea/May-12","11"
"Forum/Nov-11","Forum/May-12","20"
"Forum/Nov-11","Moderate Farmers/May-12","8"
"Forum/Nov-11","Hardcore/Jun-12","18"
"Forum/Nov-11","Moderate Losers/Jun-12","8"
"Forum/Nov-11","Moderate Miscellanea/Jun-12","10"
"Forum/Nov-11","Casual Losers/Jun-12","3"
"Forum/Nov-11","Moderate Farmers/Jun-12","7"
"Forum/Nov-11","Forum/Jun-12","16"
"Forum/Nov-11","Casual Winners/Jun-12","8"
"Forum/Nov-11","Casual Winners/Jul-12","4"
"Forum/Nov-11","Moderate Miscellanea/Jul-12","7"
"Forum/Nov-11","Moderate Farmers/Jul-12","5"
"Forum/Nov-11","Casual Losers/Jul-12","4"
"Forum/Nov-11","Forum/Jul-12","11"
"Forum/Nov-11","Hardcore/Jul-12","18"
"Forum/Nov-11","Moderate Losers/Jul-12","5"
"Forum/Nov-11","Hardcore/Aug-12","16"
"Forum/Nov-11","Casual Losers/Aug-12","2"
"Forum/Nov-11","Casual Winners/Aug-12","3"
"Forum/Nov-11","Moderate Losers/Aug-12","8"
"Forum/Nov-11","Moderate Winners/Aug-12","7"
"Forum/Nov-11","Moderate Farmers/Aug-12","6"
"Forum/Nov-11","Casual Winners/Sep-12","4"
"Forum/Nov-11","Moderate Farmers/Sep-12","8"
"Forum/Nov-11","Hardcore/Sep-12","8"
"Forum/Nov-11","Casual Losers/Sep-12","5"
"Forum/Nov-11","Moderate Losers/Sep-12","1"
"Forum/Nov-11","Forum/Sep-12","8"
"Forum/Nov-11","Hardcore/Oct-12","7"
"Forum/Nov-11","Moderate Farmers/Oct-12","7"
"Forum/Nov-11","Casual Losers/Oct-12","2"
"Forum/Nov-11","Forum/Oct-12","8"
"Forum/Nov-11","Casual Winners/Oct-12","7"
"Forum/Nov-11","Moderate Miscellanea/Oct-12","2"
"Forum/Nov-11","Casual/Nov-12","4"
"Forum/Nov-11","Hardcore/Nov-12","8"
"Forum/Nov-11","Moderate Farmers/Nov-12","9"
"Forum/Nov-11","Moderate Miscellanea/Nov-12","2"
"Forum/Nov-11","Forum/Nov-12","7"
"Forum/Nov-11","Casual/Dec-12","3"
"Forum/Nov-11","Moderate Farmers/Dec-12","2"
"Forum/Nov-11","Moderate Miscellanea/Dec-12","1"
"Forum/Nov-11","Hardcore/Dec-12","6"
"Forum/Nov-11","Forum/Dec-12","3"
"Moderate/Nov-11","Moderate Farmers/Nov-11","0"
"Moderate/Nov-11","Casual Winners/Nov-11","0"
"Moderate/Nov-11","Casual Losers/Nov-11","0"
"Moderate/Nov-11","Forum/Nov-11","0"
"Moderate/Nov-11","Moderate/Nov-11","1030"
"Moderate/Nov-11","Hardcore/Nov-11","0"
"Moderate/Nov-11","Casual Winners/Dec-11","92"
"Moderate/Nov-11","Casual Losers/Dec-11","93"
"Moderate/Nov-11","Moderate Farmers/Dec-11","249"
"Moderate/Nov-11","Hardcore/Dec-11","248"
"Moderate/Nov-11","Forum/Dec-11","52"
"Moderate/Nov-11","Moderate/Dec-11","112"
"Moderate/Nov-11","Moderate Losers/Jan-12","60"
"Moderate/Nov-11","Moderate Miscellanea/Jan-12","88"
"Moderate/Nov-11","Casual Losers/Jan-12","64"
"Moderate/Nov-11","Hardcore/Jan-12","132"
"Moderate/Nov-11","Casual Winners/Jan-12","90"
"Moderate/Nov-11","Forum/Jan-12","31"
"Moderate/Nov-11","Moderate Farmers/Jan-12","61"
"Moderate/Nov-11","Moderate Farmers/Feb-12","74"
"Moderate/Nov-11","Moderate Losers/Feb-12","48"
"Moderate/Nov-11","Casual Losers/Feb-12","36"
"Moderate/Nov-11","Hardcore/Feb-12","101"
"Moderate/Nov-11","Casual Winners/Feb-12","53"
"Moderate/Nov-11","Forum/Feb-12","16"
"Moderate/Nov-11","Casual Forum/Feb-12","13"
"Moderate/Nov-11","Casual Forum/Mar-12","12"
"Moderate/Nov-11","Casual Winners/Mar-12","55"
"Moderate/Nov-11","Moderate Miscellanea/Mar-12","60"
"Moderate/Nov-11","Casual Losers/Mar-12","36"
"Moderate/Nov-11","Hardcore/Mar-12","57"
"Moderate/Nov-11","Forum/Mar-12","11"
"Moderate/Nov-11","Moderate Farmers/Mar-12","44"
"Moderate/Nov-11","Casual Winners/Apr-12","45"
"Moderate/Nov-11","Casual Losers/Apr-12","37"
"Moderate/Nov-11","Casual Forum/Apr-12","11"
"Moderate/Nov-11","Moderate Miscellanea/Apr-12","67"
"Moderate/Nov-11","Moderate Farmers/Apr-12","29"
"Moderate/Nov-11","Forum/Apr-12","12"
"Moderate/Nov-11","Hardcore/Apr-12","68"
"Moderate/Nov-11","Hardcore/May-12","72"
"Moderate/Nov-11","Casual Forum/May-12","16"
"Moderate/Nov-11","Casual Winners/May-12","56"
"Moderate/Nov-11","Casual Losers/May-12","42"
"Moderate/Nov-11","Moderate Miscellanea/May-12","54"
"Moderate/Nov-11","Forum/May-12","21"
"Moderate/Nov-11","Moderate Farmers/May-12","36"
"Moderate/Nov-11","Hardcore/Jun-12","54"
"Moderate/Nov-11","Moderate Losers/Jun-12","36"
"Moderate/Nov-11","Moderate Miscellanea/Jun-12","46"
"Moderate/Nov-11","Casual Losers/Jun-12","40"
"Moderate/Nov-11","Moderate Farmers/Jun-12","22"
"Moderate/Nov-11","Forum/Jun-12","24"
"Moderate/Nov-11","Casual Winners/Jun-12","38"
"Moderate/Nov-11","Casual Winners/Jul-12","34"
"Moderate/Nov-11","Moderate Miscellanea/Jul-12","42"
"Moderate/Nov-11","Moderate Farmers/Jul-12","17"
"Moderate/Nov-11","Casual Losers/Jul-12","25"
"Moderate/Nov-11","Forum/Jul-12","7"
"Moderate/Nov-11","Hardcore/Jul-12","58"
"Moderate/Nov-11","Moderate Losers/Jul-12","27"
"Moderate/Nov-11","Hardcore/Aug-12","49"
"Moderate/Nov-11","Casual Losers/Aug-12","30"
"Moderate/Nov-11","Casual Winners/Aug-12","24"
"Moderate/Nov-11","Moderate Losers/Aug-12","26"
"Moderate/Nov-11","Moderate Winners/Aug-12","32"
"Moderate/Nov-11","Moderate Farmers/Aug-12","17"
"Moderate/Nov-11","Casual Winners/Sep-12","32"
"Moderate/Nov-11","Moderate Farmers/Sep-12","35"
"Moderate/Nov-11","Hardcore/Sep-12","44"
"Moderate/Nov-11","Casual Losers/Sep-12","17"
"Moderate/Nov-11","Moderate Losers/Sep-12","26"
"Moderate/Nov-11","Forum/Sep-12","8"
"Moderate/Nov-11","Hardcore/Oct-12","47"
"Moderate/Nov-11","Moderate Farmers/Oct-12","37"
"Moderate/Nov-11","Casual Losers/Oct-12","8"
"Moderate/Nov-11","Forum/Oct-12","6"
"Moderate/Nov-11","Casual Winners/Oct-12","25"
"Moderate/Nov-11","Moderate Miscellanea/Oct-12","29"
"Moderate/Nov-11","Casual/Nov-12","28"
"Moderate/Nov-11","Hardcore/Nov-12","43"
"Moderate/Nov-11","Moderate Farmers/Nov-12","26"
"Moderate/Nov-11","Moderate Miscellanea/Nov-12","18"
"Moderate/Nov-11","Forum/Nov-12","10"
"Moderate/Nov-11","Casual/Dec-12","18"
"Moderate/Nov-11","Moderate Farmers/Dec-12","6"
"Moderate/Nov-11","Moderate Miscellanea/Dec-12","10"
"Moderate/Nov-11","Hardcore/Dec-12","8"
"Moderate/Nov-11","Forum/Dec-12","2"
"Hardcore/Nov-11","Moderate Farmers/Nov-11","0"
"Hardcore/Nov-11","Casual Winners/Nov-11","0"
"Hardcore/Nov-11","Casual Losers/Nov-11","0"
"Hardcore/Nov-11","Forum/Nov-11","0"
"Hardcore/Nov-11","Moderate/Nov-11","0"
"Hardcore/Nov-11","Hardcore/Nov-11","1559"
"Hardcore/Nov-11","Casual Winners/Dec-11","62"
"Hardcore/Nov-11","Casual Losers/Dec-11","36"
"Hardcore/Nov-11","Moderate Farmers/Dec-11","202"
"Hardcore/Nov-11","Hardcore/Dec-11","805"
"Hardcore/Nov-11","Forum/Dec-11","91"
"Hardcore/Nov-11","Moderate/Dec-11","194"
"Hardcore/Nov-11","Moderate Losers/Jan-12","106"
"Hardcore/Nov-11","Moderate Miscellanea/Jan-12","87"
"Hardcore/Nov-11","Casual Losers/Jan-12","37"
"Hardcore/Nov-11","Hardcore/Jan-12","409"
"Hardcore/Nov-11","Casual Winners/Jan-12","78"
"Hardcore/Nov-11","Forum/Jan-12","54"
"Hardcore/Nov-11","Moderate Farmers/Jan-12","139"
"Hardcore/Nov-11","Moderate Farmers/Feb-12","140"
"Hardcore/Nov-11","Moderate Losers/Feb-12","72"
"Hardcore/Nov-11","Casual Losers/Feb-12","32"
"Hardcore/Nov-11","Hardcore/Feb-12","263"
"Hardcore/Nov-11","Casual Winners/Feb-12","57"
"Hardcore/Nov-11","Forum/Feb-12","45"
"Hardcore/Nov-11","Casual Forum/Feb-12","15"
"Hardcore/Nov-11","Casual Forum/Mar-12","12"
"Hardcore/Nov-11","Casual Winners/Mar-12","71"
"Hardcore/Nov-11","Moderate Miscellanea/Mar-12","76"
"Hardcore/Nov-11","Casual Losers/Mar-12","36"
"Hardcore/Nov-11","Hardcore/Mar-12","209"
